Total number of intervals = 90
Timestamp start: 1715943774206
Timestamp end: 1715944674861

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
Total QPS = 51582.6 (46424304 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11466802594 bytes :   12.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.99%,49.75%,100.00%
ubuntu@client-measure-0r2f:~/memcache-perf-dynamic$
